1761265360,608,446.4105377,,Metrics,Value,Rounded,Simulated,% Change
1761282857,2178388,687.6852417,,,,,,
1761282887,2179484,559.3732239,,,,,,
1761282898,2181664,17.98897219,,,,,,
1761282911,2184040,614.8770142,,,,,,
1761282966,2189868,621.3773193,,,,,,
1761282986,2193624,361.6972504,,,,,,
1761282987,2193892,425.5702606,,,,,,
1761283022,2196136,121.1685791,,,,,,
1761283035,2198900,471.8908081,,,,,,
1761283048,2201264,706.2649536,,,,,,
1761283050,2201520,343.9148712,,,,,,
1761283095,2205928,446.5382828,,,,,,
1761283099,2206684,470.0785675,,,,,,
1761283240,2225512,294.1828537,,,,,,
1761283286,2229956,652.0543213,,,,,,
1761283303,2233532,553.4224442,,,,,,
1761283348,2238140,117.5986176,,,,,,
1761283363,2240992,427.2548676,,,,,,
1761283372,2242600,118.4324684,,,,,,
1761283408,2244680,466.8136307,,,,,,
1761283421,2247232,625.5664063,,,,,,
1761283477,2253324,607.3388062,,,,,,
1761283487,2255260,586.312561,,,,,,
1761283487,2255372,265.5749588,,,,,,
1761283492,2256380,441.0712738,,,,,,
1761283507,2259384,329.0491333,,,,,,
1761283511,2260224,487.7035309,,,,,,
1761283561,2265496,574.7376099,,,,,,
1761283685,2281508,245.5258026,,,,,,
1761283691,2282724,597.1784668,,,,,,
1761283750,2289868,378.7015228,,,,,,
1761283794,2293772,3.534451604,,,,,,
1761283797,2294580,23.13744164,,,,,,
1761283808,2296676,422.7385681,,,,,,
1761283821,2299184,650.3616943,,,,,,
1761283860,2301968,430.7164307,,,,,,
1761283867,2303776,389.1152115,,,,,,
1761283886,2307068,165.0958786,,,,,,
1761283889,2307720,219.9186401,,,,,,
1761283902,2309888,571.4536133,,,,,,
1761283935,2311868,642.1552734,,,,,,
1761283961,2316536,513.3485107,,,,,,
1761283966,2317412,577.484314,,,,,,
1761283996,2318740,658.65271,,,,,,
1761284024,2323940,574.1206543,,,,,,
1761284025,2324216,508.2892609,,,,,,
1761284076,2329944,549.2975464,,,,,,
1761284078,2330236,388.2324371,,,,,,
1761284100,2334472,679.9439087,,,,,,
1761284149,2339896,637.1305542,,,,,,
1761284150,2340024,554.4459839,,,,,,
1761284207,2347524,362.0832596,,,,,,
1761284222,2350388,207.0309906,,,,,,
1761284252,2351704,128.3812065,,,,,,
1761284256,2352636,3.174920797,,,,,,
1761284274,2355872,542.1412964,,,,,,
1761284321,2360492,556.5236328,,,,,,
1761284333,2362772,715.512146,,,,,,
1761284386,2368312,147.3197937,,,,,,
