Wall time,Step,Value,,Metrics,Value,Rounded
1760620626,4455928,520.555481,,,,
1760620697,4464496,479.6533203,,,,
1760620754,4470836,372.8825378,,,,
1760620856,4481036,283.1199036,,,,
1760620889,4487624,687.0636597,,,,
1760620931,4491632,650.7396851,,,,
1760620935,4492348,258.0441895,,,,
1760620989,4498308,376.3416748,,,,
1760621022,4504360,508.6088562,,,,
1760621063,4508224,574.428833,,,,
1760621080,4511232,240.938858,,,,
1760621188,4522040,658.5386963,,,,
1760621272,4533704,0,,,,
1760621293,4537544,618.7154541,,,,
1760621345,4542556,177.7456512,,,,
1760621421,4552740,726.5703125,,,,
1760621626,4577648,629.921936,,,,
1760621662,4579992,309.3078308,,,,
1760621814,4599864,11.38420296,,,,
1760621942,4614616,699.34021,,,,
1760621942,4614628,676.3218384,,,,
1760621954,4616744,538.7156372,,,,
1760622013,4623964,401.2085876,,,,
1760622064,4629540,283.8106689,,,,
1760622131,4637840,293.487915,,,,
1760622149,4641572,99.78588867,,,,
1760622200,4646800,660.3834839,,,,
1760622219,4650088,532.2559814,,,,
1760622233,4652792,41.57745361,,,,
1760622332,4662204,596.9595947,,,,
1760622347,4664932,639.9472046,,,,
1760622415,4673124,341.4058228,,,,
1760622418,4673432,671.1315308,,,,
1760622426,4674872,117.1195908,,,,
1760622427,4675040,451.2346191,,,,
1760622470,4678796,602.8287354,,,,
1760622486,4681576,621.1419678,,,,
1760622550,4689696,211.8011627,,,,
1760622627,4699612,542.1461792,,,,
1760622673,4703512,643.1697388,,,,
1760622688,4706432,451.3008118,,,,
1760622705,4709344,691.1913452,,,,
1760622706,4709500,130.7406616,,,,
1760622737,4710844,595.0231323,,,,
1760622816,4720768,501.8536682,,,,
1760622847,4726168,402.8675537,,,,
1760622881,4728232,639.6531372,,,,
1760622898,4731148,610.6408081,,,,
1760622956,4737392,587.4840088,,,,
1760622957,4737616,699.8185425,,,,
1760622974,4740680,495.8908997,,,,
1760622977,4741360,11.27524185,,,,
1760622981,4742024,274.1592102,,,,
1760623021,4745180,622.2979126,,,,
1760623028,4746384,507.9160156,,,,
1760623052,4750772,538.0343018,,,,
1760623052,4750796,543.9025269,,,,
1760623093,4754152,485.8310547,,,,
1760623104,4755848,554.0465088,,,,
1760623154,4760612,585.3723145,,,,
1760623158,4761324,529.0791626,,,,
1760623288,4777468,415.0116577,,,,
1760623298,4779092,446.7779846,,,,
1760623303,4780084,652.0543213,,,,
1760623394,4792156,376.3808289,,,,
1760623443,4796992,730.8986206,,,,
1760623502,4803208,757.3361206,,,,
1760623563,4809928,579.1271973,,,,
1760623729,4831880,423.1643677,,,,
1760623778,4836548,504.3494873,,,,
1760623782,4837248,573.8929443,,,,
1760623783,4837448,201.9476318,,,,
1760623848,4844936,593.7492065,,,,
1760623857,4846492,73.31648254,,,,
1760623869,4848544,600.8612671,,,,
1760623874,4849336,573.4174805,,,,
1760623910,4851660,117.1924057,,,,
1760623933,4855604,506.3761597,,,,
1760624010,4865420,368.8240356,,,,
1760624065,4871348,396.8093872,,,,
1760624121,4877452,593.2625732,,,,
1760624400,4913572,632.6428223,,,,
1760624405,4914316,188.3275146,,,,
1760624471,4921956,10.79624557,,,,
1760624504,4924020,454.7446899,,,,
1760624536,4930092,691.9813843,,,,
1760624643,4942884,10.61219978,,,,
1760624667,4946900,721.6154785,,,,
1760624713,4951336,204.1347961,,,,
1760624733,4955116,498.2409973,,,,
1760624771,4957800,615.614563,,,,
1760624801,4963068,570.8533325,,,,
1760624807,4964228,1.070225,,,,
1760624863,4970024,343.6456909,,,,
1760624906,4974040,721.6154785,,,,
1760624907,4974240,416.4008179,,,,
1760624969,4980912,434.7108154,,,,
1760624977,4982424,367.7745361,,,,
1760624998,4986152,613.4024048,,,,
1760625009,4987960,323.6942444,,,,
1760625071,4994860,666.4152832,,,,
1760625209,5012344,69.38078308,,,,
1760625315,5023052,345.315033,,,,
1760625346,5028480,736.9954224,,,,
1760625451,5039404,549.6508789,,,,
1760625457,5040580,730.5599365,,,,
1760625518,5047652,672.0158691,,,,
1760625654,5063768,473.7963257,,,,
1760625669,5066648,449.9804382,,,,
1760625687,5069832,284.5048523,,,,
1760625787,5079368,498.3013306,,,,
1760625822,5086068,359.6523132,,,,
1760625823,5086264,288.7980042,,,,
1760625828,5087084,555.9155884,,,,
1760626023,5109932,544.6871948,,,,
1760626062,5112924,247.2892456,,,,
1760626077,5115512,257.35849,,,,
1760626078,5115836,490.6985168,,,,
1760626137,5122220,623.1427612,,,,
1760626151,5124756,461.6981201,,,,
1760626202,5129728,602.8287354,,,,
1760626277,5139444,19.1139164,,,,
1760626296,5142724,778.8613892,,,,
1760626305,5144240,226.4644318,,,,
1760626306,5144352,399.796814,,,,
1760626336,5145652,262.4928589,,,,
1760626553,5172524,332.2437744,,,,
1760626699,5191000,380.4564209,,,,
1760626762,5198320,378.3702698,,,,
1760626889,5213224,692.2059937,,,,
1760626905,5216060,632.5130005,,,,
1760626962,5222576,694.6601563,,,,
1760627022,5229472,606.68927,,,,
1760627049,5234408,570.6729126,,,,
1760627145,5243504,111.6944962,,,,
1760627207,5251708,400.3209839,,,,
1760627231,5256304,459.8881226,,,,
1760627275,5260156,571.3347778,,,,
1760627282,5261596,365.636322,,,,
1760627298,5264300,382.4322205,,,,
1760627436,5281556,447.3916626,,,,
